Participant,placement_distance,placement_cr,seen_when_cr,list_no,stimuli_no,response_not_seen,response_seen,seen_when_never,seen_when_one_week,seen_when_two_weeks,seen_when_yesterday,relevance_nr,relevance_r,old_new_memo,old_new_new,old_new_old,catego_h,catego_o,encoding_no_e1,encoding_no_e2,encoding_no_e3
11,1159.507,100,100,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,649.5275,29,28,6,15,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
11,922.465,16,23,2,11,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True
11,1316.693,29,50,8,16,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True
11,1396.553,99,99,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,493.456,72,75,7,1,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
11,333.1209,31,40,8,14,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
11,1296.923,24,40,5,7,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,1526.25,57,58,7,13,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False
11,1743.26,69,79,7,12,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
11,1566.417,76,80,1,14,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,613.2049,63,67,4,12,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
11,1435.742,90,95,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,574.1632,23,52,6,10,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,496.6112,7,50,3,1,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
11,1261.494,50,50,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1172.005,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1140.733,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,593.0095,37,61,5,4,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True
11,1419.978,29,29,6,7,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
11,179.0648,67,89,2,8,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
11,1132.03,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,809.0555,17,18,4,10,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
11,991.4003,8,50,1,16,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
11,1704.25,30,38,5,9,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False
11,395.3638,23,60,1,5,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
11,1213.937,90,90,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,610.0424,20,20,3,16,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,1582.513,63,71,3,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,215.4926,15,15,4,9,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
11,1437.733,95,95,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1736.096,65,65,2,8,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
11,1494.143,0,10,4,3,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True
11,270.2681,21,50,8,5,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False
11,416.634,50,96,7,5,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
11,645.4445,27,94,3,6,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
11,1429.47,61,64,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,145.2005,13,21,8,14,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
11,1308.335,50,50,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,37.59549,35,40,6,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
11,1550.892,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1795.446,63,65,1,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
11,399.4149,29,62,3,8,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
11,229.359,50,93,4,3,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,570.4939,60,80,6,4,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
11,190.2598,40,70,1,3,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
11,1422.961,40,30,2,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,385.8129,20,10,8,6,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False
11,1126.617,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,333.5225,30,50,5,7,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
11,1497.583,60,60,6,13,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
11,139.3859,20,50,3,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
11,1602.158,85,85,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1793.231,15,15,7,15,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
11,613.1005,10,40,2,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
11,164.4122,45,80,5,15,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,1442.425,20,20,1,4,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
11,1101.563,60,60,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,990.5012,35,35,7,10,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,321.683,50,70,5,2,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
11,1760.938,55,55,4,11,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
11,1236.561,60,60,8,13,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
11,249.6534,45,75,,13,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
12,299.2024,50,24,2,14,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
12,1083.365,78,80,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,1044.828,41,40,6,1,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,776.8696,14,20,2,15,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
12,144.6875,40,31,8,4,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
12,1178.88,41,38,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,78.14272,50,75,7,3,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
12,1106.037,61,60,8,5,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,114.9658,20,25,5,10,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
12,1456.895,55,55,7,7,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
12,439.2418,60,50,7,4,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
12,1104.523,67,67,1,8,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
12,206.4561,70,62,4,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
12,1056.977,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,240.2535,8,41,6,7,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
12,1255.529,91,88,3,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
12,1191.924,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,926.354,79,80,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,911.1273,85,86,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,612.6198,49,62,5,5,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
12,917.2256,73,31,6,6,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
12,335.8362,41,71,2,13,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True
12,994.127,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,394.8019,42,41,4,8,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
12,872.8201,54,54,1,14,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
12,414.8551,45,34,5,8,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
12,802.0671,45,24,1,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
12,927.6323,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,2.111265,39,43,3,13,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
12,383.019,83,83,3,16,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
12,324.5672,39,39,4,2,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False
12,1017.003,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,980.9955,42,42,2,10,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
12,1334.915,29,29,4,7,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,645.4898,41,43,8,4,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False
12,355.8541,37,54,7,3,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
12,723.4999,54,58,3,11,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
12,1026.71,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,920.3171,79,79,8,1,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
12,1195.315,95,95,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,753.8354,32,32,6,3,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
12,895.1597,100,100,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,907.1887,42,43,1,15,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
12,476.7016,30,34,3,9,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
12,412.2369,42,25,4,11,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False
12,732.8013,40,40,6,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
12,607.8212,42,32,1,5,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
12,76.41102,35,46,2,13,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
12,634.6057,73,73,8,11,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
12,946.5047,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,617.0755,36,45,5,6,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
12,912.8786,60,60,6,2,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
12,766.5948,59,59,3,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,1098.334,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,718.6494,42,42,7,12,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
12,857.1161,90,91,2,14,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False
12,800.4688,42,63,5,16,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
12,981.8654,59,51,1,16,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False
12,1196.9,90,90,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,596.0455,72,63,7,2,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False
12,783.5532,46,27,5,10,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
12,955.8179,79,78,4,9,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
12,274.2189,54,59,8,1,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
12,943.1687,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1100.68,50,50,2,14,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
13,208.1471,50,88,,12,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
13,1103.529,50,50,6,1,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
13,1211.457,42,98,2,15,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
13,624.5463,65,88,8,4,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
13,1053.582,50,50,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,303.8615,50,100,7,3,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
13,367.2403,50,68,8,5,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
13,214.5339,50,50,5,10,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
13,227.3269,16,50,7,7,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False
13,290.2472,66,86,7,4,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
13,107.5357,50,100,1,8,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
13,416.5674,50,53,4,9,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
13,1108.929,97,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,219.4225,50,50,6,7,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False
13,619.128,9,7,3,6,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
13,1095.962,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1054.27,50,50,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1165.642,50,50,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,387.2856,84,75,5,5,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False
13,348.1288,65,69,6,6,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
13,300.7729,53,73,2,13,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
13,375.5734,3,4,,12,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
13,176.8133,27,38,4,8,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
13,266.1046,50,50,1,14,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
13,723.5148,50,85,5,8,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False
13,1020.279,50,100,1,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
13,1247.734,50,50,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,328.2303,50,100,3,13,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
13,818.4506,50,93,3,16,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
13,301.9169,3,4,4,2,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
13,1020.185,28,22,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,196.1539,34,50,2,10,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
13,941.8,19,33,4,7,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
13,501.6104,50,97,8,4,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
13,884.9156,50,41,7,3,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
13,106.7408,50,50,3,11,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False
13,1286.165,64,62,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,555.7375,50,94,8,1,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False
13,1029.042,29,32,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,574.8745,50,62,6,3,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
13,1394.173,100,99,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,832.282,10,20,1,15,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
13,648.9534,50,62,3,9,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
13,541.2894,50,69,4,11,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False
13,801.902,24,9,6,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
13,441.9628,32,20,1,5,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
13,328.767,34,69,2,13,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
13,511.5193,27,10,8,11,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True
13,1186.203,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,265.6259,50,50,5,6,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
13,717.2653,50,50,6,2,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
13,266.1658,16,69,3,12,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
13,1095.903,50,50,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,178.2297,36,24,7,12,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
13,109.1162,50,75,2,14,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
13,1016.619,29,33,5,16,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False
13,431.2171,50,100,1,16,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
13,1304.956,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
13,110.2309,50,58,7,2,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False
13,566.2208,8,6,5,10,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
13,866.1788,25,69,4,9,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
13,173.1177,50,19,8,1,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
13,1169.131,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,1284.472,70,70,12,1,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
14,1075.16,16,30,,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
14,344.9313,30,30,6,14,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
14,325.325,50,20,12,1,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
14,323.9524,20,15,3,2,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
14,1186.495,25,25,,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,263.2927,15,20,12,1,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
14,253.7113,20,50,7,2,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
14,423.8043,20,50,3,2,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
14,202.5411,20,30,13,3,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
14,278.2663,10,40,3,4,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False
14,440.9365,10,30,2,3,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
14,420.0334,10,30,13,3,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
14,1293.916,60,60,,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,313.5596,10,50,5,12,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False
14,4.177202,10,25,7,4,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True
14,1246.928,50,50,,2,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,1224.666,70,80,,6,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,1178.297,80,80,,3,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,708.4452,40,30,4,4,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
14,113.5803,10,100,3,5,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
14,113.1376,10,25,4,5,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
14,1434.953,100,100,,1,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,324.8916,10,30,13,6,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
14,6.474211,10,30,1,7,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
14,280.1388,10,70,5,13,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
14,263.8845,10,30,4,8,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True
14,1283.73,100,100,,5,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,146.061,10,70,12,6,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
14,450.6778,10,40,3,7,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
14,485.4879,10,40,13,9,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
14,1389.988,100,100,,8,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
14,409.6598,10,50,12,8,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
14,476.7739,10,50,6,9,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
14,315.5551,10,50,4,5,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
14,282.9742,10,25,8,10,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
14,203.4957,10,30,13,6,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False
